BA MATH,,6,
BS MATH,,2,
BS APPMATH,,5,
BA CS,,4,
BS CS,,4,
BS CS/MATH,,3,
BS MATH,BS CS,2,4
BA MATH ,BA CS,6,4
BS MATH,BA CS,2,4
BS APPMATH,BS CS,3,4
BS APPMATH,BA CS,3,4
BS MATH,MIN CS,2,3
BA MATH,MIN CS,6,3
BS APPMATH,MIN CS,3,3
BS MATH,MIN CSINFO,2,3
BA MATH,MIN CSINFO,6,3
BS APPMATH,MIN CSINFO,3,3
BA CS,MIN MATH,4,5
BS CS,MIN MATH,4,5
BA CS,MIN APPMATH,4,2
BS CS,MIN APPMATH,4,2
BA MATH,BS CS,6,4
BS CS,BS MATH,4,2
BA CS,BA MATH ,4,6
BA CS,BS MATH,4,2
BS CS,BS APPMATH,4,3
BA CS,BS APPMATH,4,3
BS CS,BA MATH,4,6
